연번,인증번호,인증구분,인증등급,지역코드,시군구,지역(시설)명,인증대상,신청기관,면적,용도구분,인증일자,인증만료일,인증기관
1,1,예비,최우수,전라남도,순천시,주암댐효나눔복지센터,건축물,한국 수자원공사,891.49,노유자시설,2008-10-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
2,2,예비,최우수,서울특별시,성북구,성북구청사,건축물,성북구청,26980.3,업무시설,2008-12-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
3,3,예비,최우수,경기도,양평군,양평군장애인종합복지관,건축물,(주)대경종합건축사사무소,2684.94,노유자시설,2008-12-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
4,1,본,최우수,대전광역시,서구,대전시청사,건축물,대전광역시,77927.87,업무시설,2008-12-30,2013-12-29,한국장애인개발원
5,4,예비,최우수,서울특별시,송파구,문정도시개발사업,지역,SH공사,,공동주택,2009-01-13,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
6,5,예비,최우수,서울특별시,중구,동대문 디자인 플라자 & 파크,건축물,서울특별시,83024.05,문화 및 집회시설,2009-02-18,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
7,6,예비,최우수,대전광역시,동구,대전 전국체전수영장,건축물,대전광역시,,운동시설,2009-03-06,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
8,7,예비,최우수,강원특별자치도,횡성군,횡성군장애인종합복지관,건축물,횡성군청,1468.7,노유자시설,2009-03-17,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
9,2,본,최우수,서울특별시,성북구,성북구청사,건축물,성북구청,26980.3,업무시설,2009-04-21,2014-04-20,한국장애인개발원
10,8,예비,최우수,충청남도,천안시,충남 시각장애인복지관,건축물,충청남도,,노유자시설,2009-05-27,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
11,9,예비,최우수,서울특별시,마포구,서울 연남 차이나타운 중화문화거리,도로,서울시청,,도로,2009-05-28,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
12,10,예비,최우수,경기도,화성시,화성시 복합복지타운,건축물,(주)일건건축사사무소,18231.1,노유자시설,2009-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
13,11,예비,최우수,경상남도,진주시,진주(부산방향)휴게소,건축물,한국철도기술연구원장(홍재성(팀원),2753.27,관광휴게시설,2009-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
14,3,본,우수,대전광역시,유성구,유성구 노은1동주민센터,건축물,대전광역시 유성구청,2631.64,업무시설,2009-06-30,2014-06-29,한국장애인개발원
15,4,본,우수,대전광역시,대덕구,대덕구 노인종합복지관,건축물,대전광역시 대덕구청,1337.41,노유자시설,2009-06-30,2014-06-29,한국장애인개발원
16,12,예비,우수,대전광역시,유성구,대전 CT센터,건축물,(재)대전문화산업진흥원,17129.82,문화 및 집회시설,2009-07-21,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
17,13,예비,최우수,강원특별자치도,춘천시,강원도 재활병원,건축물,강원도청,13195.71,의료시설,2009-08-11,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
18,14,예비,최우수,충청남도,아산시,아산시 탕정면 행정복합시설,건축물,아산시청,1351.65,업무시설,2009-08-19,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
19,5,본,최우수,강원특별자치도,횡성군,횡성군장애인종합복지관,건축물,횡성군청,1468.7,노유자시설,2009-08-25,2014-08-24,한국장애인개발원
20,6,본,우수,대전광역시,중구,중구 문화1동 주민센터,건축물,대전 중구청,2360.32,업무시설,2009-08-26,2014-08-25,한국장애인개발원
21,15,예비,최우수,대전광역시,대덕구,장애인근로사업장,건축물,대전광역시,,공장,2009-10-23,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
22,16,예비,우수,대구광역시,달서구,정부대구지방합동청사,건축물,행정안전부,46948.76,업무시설,2009-12-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
23,17,예비,최우수,세종특별자치시,,행복도시 1-2생활권 복합커뮤니티,건축물,행정중심복합도시 건설청,,업무시설,2010-01-04,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
24,18,예비,최우수,세종특별자치시,,행복도시 1-4생활권 복합커뮤니티,건축물,행정중심복합도시 건설청,,업무시설,2010-01-04,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
25,19,예비,최우수,서울특별시,종로구,광화문광장,공원,서울특별시,,공원,2010-01-06,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
26,20,예비,최우수,경기도,성남시,도촌 종합사회복지관,건축물,성남시,,노유자시설,2010-02-09,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
27,21,예비,최우수,충청남도,홍성군,충청남도 도본청 및 의회청사,건축물,계룡건설산업,104982.41,업무시설,2010-02-10,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
28,22,예비,최우수,세종특별자치시,,행복도시 1-5생활권 복합커뮤니티,건축물,행정중심복합도시건설,,업무시설,2010-02-26,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
29,23,예비,우수,충청남도,당진시,당진 시청사 및 의회,건축물,당진군청,35914.17,업무시설,2010-03-19,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
30,24,예비,우수,충청남도,천안시,나사렛대학교내 국제관,건축물,나사렛대,18650.29,교육연구시설,2010-03-25,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
31,25,예비,최우수,서울특별시,중구,서울특별시 청사,건축물,서울특별시,90742.6,업무시설,2010-03-26,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
32,7,본,최우수,충청남도,천안시,충남 시각장애인복지관,건축물,충청남도,,노유자시설,2010-04-12,2015-04-11,한국토지주택공사
33,8,본,최우수,대전광역시,동구,대전 전국체전 수영장,건축물,대전시,,운동시설,2010-04-12,2015-04-11,한국토지주택공사
34,9,본,우수,경기도,고양시,주교·성사주공1단지 주택재건축신축공사(원당 e-편한세상),건축물,주택재건축정비 사업조합장,,공동주택,2010-04-14,2015-04-13,한국토지주택공사
35,10,본,최우수,전라남도,순천시,주암댐효나눔복지센터,건축물,한국 수자원공사,891.49,노유자시설,2010-05-04,2015-05-03,한국장애인개발원
36,26,예비,우수,서울특별시,광진구,구의3재정비촉진구역,건축물,아시아신탁(주),50718.59,공동주택,2010-05-27,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
37,27,예비,우수,서울특별시,양천구,신정1재정비촉진구역1-1지구 1단지,건축물,신정1재정비촉진구역1-1지구재정비촉진정비사업조합,,공동주택,2010-05-31,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
38,28,예비,우수,서울특별시,동작구,흑석6구역 주택재개발,건축물,주택재개발정비사업조합,,공동주택,2010-06-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
39,29,예비,최우수,서울특별시,중구,한강예술섬 조성공사,건축물,서울특별시청,99265.9,문화 및 집회시설,2010-06-15,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
40,30,예비,우수,인천광역시,강화군,강화 공공도서관,건축물,강화군청,2190.61,교육연구시설,2010-06-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
41,31,예비,우수,서울특별시,중구,신당 제7주택재개발아파트,건축물,㈜대림산업,119567.67,공동주택,2010-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
42,32,예비,최우수,서울특별시,양천구,목5동 통합청사,건축물,서울시 양천구청장,,업무시설,2010-07-16,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
43,33,예비,우수,경기도,파주시,교남장애인요양원,건축물,교남재단,943.27,노유자시설,2010-08-23,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
44,11,본,최우수,경기도,화성시,화성시 복합복지타운,건축물,화성시청,18231.1,노유자시설,2010-08-27,2015-08-26,한국장애인개발원
45,12,본,최우수,충청북도,보은군,보은 효나눔복지센터,건축물,한국 수자원공사,895.35,노유자시설,2010-09-13,2015-09-12,한국장애인개발원
46,34,예비,최우수,강원특별자치도,춘천시,서지역노인종합복지회관,건축물,춘천시청,4433.34,노유자시설,2010-09-13,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
47,35,예비,최우수,인천광역시,계양구,인천계양동부센트레빌 1단지,건축물,(주)화일어드밴타 스피에프보이,,공동주택,2010-09-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
48,36,예비,최우수,인천광역시,계양구,인천계양동부센트레빌 2단지,건축물,(주)화일어드밴타 스피에프보이,,공동주택,2010-09-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
49,37,예비,최우수,인천광역시,계양구,인천계양동부센트레빌 3단지,건축물,(주)화일어드밴타 스피에프보이,,공동주택,2010-09-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
50,13,본,최우수,경상남도,진주시,진주(부산방향)휴게소,건축물,한국도로공사,2753.27,관광휴게시설,2010-09-30,2015-09-29,한국장애인개발원
51,14,본,우수,대전광역시,중구,중구 종합문화복지관,건축물,대전광역시 중구청,2360.32,교육연구시설,2010-10-26,2015-10-25,한국장애인개발원
52,38,예비,최우수,서울특별시,송파구,지하철 9호선 931정거장,여객시설,SK건설(주),,운수시설,2010-10-29,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
53,15,본,최우수,경기도,고양시,주교·성사주공1단지 주택재건축신축공사(원당 e-편한세상),건축물,,,공동주택,2010-10-29,2015-10-28,한국토지주택공사
54,39,예비,우수,서울특별시,서대문구,홍은1구역 동부 센트레빌,건축물,홍은1구역 도시환경정비사업조합,44242.93,공동주택,2010-11-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
55,40,예비,최우수,세종특별자치시,,행복도시 국립도서관,건축물,행정중심복합도시건설,,교육연구시설,2010-11-16,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
56,41,예비,최우수,인천광역시,계양구,인천어린이과학관,건축물,동부건설,14998.06,문화 및 집회시설,2010-11-19,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
57,42,예비,최우수,충청남도,천안시,천안시 동남부 복지타운,건축물,충남 천안시청,17909.11,노유자시설,2010-11-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
58,43,예비,최우수,서울특별시,용산구,한글박물관,건축물,문화체육관광부,11321.75,문화 및 집회시설,2010-11-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
59,44,예비,우수,전라북도,익산시,익산보훈지청사,건축물,익산보훈지청,,업무시설,2010-12-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
60,45,예비,최우수,세종특별자치시,,행정중심복합도시중앙호수공원,공원,LH공사세종시 개발사업단,,공원,2010-12-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
61,16,본,우수,대전광역시,대덕구,대덕종합사회복지관,건축물,대전광역시 대덕구청,2476.53,노유자시설,2010-12-15,2015-12-14,한국장애인개발원
62,17,본,최우수,서울특별시,종로구,광화문광장,공원,서울시청,,공원,2010-12-16,2015-12-15,한국토지주택공사
63,18,본,최우수,충청남도,천안시,오웬스국제관,건축물,나사렛대학교,18650.29,교육연구시설,2010-12-17,2015-12-16,한국장애인개발원
64,46,예비,최우수,경기도,성남시,판교노인종합복지관,건축물,성남시청,,노유자시설,2010-12-22,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
65,47,예비,최우수,경기도,성남시,판교종합사회복지관,건축물,성남시청,,노유자시설,2010-12-22,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
66,48,예비,최우수,서울특별시,송파구,지하철 9호선 932정거장,여객시설,삼성물산(주),,운수시설,2010-12-24,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
67,49,예비,최우수,서울특별시,송파구,지하철 9호선 933정거장,여객시설,삼성물산(주),,운수시설,2010-12-24,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
68,50,예비,최우수,서울특별시,송파구,지하철 9호선 934정거장,여객시설,롯데건설(주),,운수시설,2011-01-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
69,51,예비,최우수,인천광역시,서구,인천광역시 서구 구립 장애인 직업재활 시설,건축물,인천광역시 서구청,2975.95,공장,2011-01-27,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
70,52,예비,최우수,경상북도,안동시,안동댐관리단사옥,건축물,한국수자원공사,2399,발전시설,2011-02-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
71,53,예비,우수,인천광역시,중구,인천광역시 중구청 공공청사,건축물,인천광역시 중구청,1357.06,업무시설,2011-02-16,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
72,54,예비,최우수,인천광역시,서구,2014아시아 경기대회 주경기장,건축물,인천광역시,114339.44,문화 및 집회시설,2011-02-28,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
73,55,예비,우수,인천광역시,중구,중구 도서관,건축물,인천광역시 중구청,467.89,제1종 근린생활시설,2011-03-03,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
74,56,예비,최우수,서울특별시,송파구,지하철 9호선 935정거장,여객시설,(주)포스코건설,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
75,57,예비,최우수,서울특별시,송파구,지하철 9호선 936정거장,여객시설,(주)포스코건설,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
76,58,예비,최우수,인천광역시,중구,도시형 자기부상열차 101정거장,여객시설,한국철도시설공단,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
77,59,예비,최우수,인천광역시,중구,도시형 자기부상열차 102정거장,여객시설,한국철도시설공단,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
78,60,예비,최우수,인천광역시,중구,도시형 자기부상열차 103정거장,여객시설,한국철도시설공단,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
79,61,예비,최우수,인천광역시,중구,도시형 자기부상열차 104정거장,여객시설,한국철도시설공단,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
80,62,예비,최우수,인천광역시,중구,도시형 자기부상열차 105정거장,여객시설,한국철도시설공단,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
81,63,예비,최우수,인천광역시,중구,도시형 자기부상열차 106정거장,여객시설,한국철도시설공단,,운수시설,2011-03-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
82,64,예비,우수,서울특별시,종로구,대한민국 역사박물관,건축물,대림산업(주),10063,문화 및 집회시설,2011-03-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
83,65,예비,우수,인천광역시,남동구,소래역사관,건축물,인천광역시 남동구청,1423.93,문화 및 집회시설,2011-03-15,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
84,66,예비,최우수,충청남도,아산시,배방읍 행정복합시설,건축물,아산시청,3628.3,업무시설,2011-03-17,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
85,67,예비,최우수,서울특별시,강북구,국립재활원 장애인종합재활교육훈련시설,건축물,국립재활원,,교육연구시설,2011-03-24,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
86,19,본,우수,전라남도,순천시,참샘마을,건축물,사회복지법인 참샘동산,1018.44,노유자시설,2011-03-31,2016-03-30,한국장애인개발원
87,68,예비,우수,인천광역시,,인천아시아경기대회 문학수영장,건축물,인천광역시,18193,문화 및 집회시설,2011-04-01,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
88,69,예비,우수,인천광역시,동구,인천아시아경기대회 송림경기장,건축물,인천광역시,22734,문화 및 집회시설,2011-04-01,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
89,70,예비,우수,인천광역시,부평구,인천아시아경기대회 십정경기장,건축물,인천광역시,26723.25,문화 및 집회시설,2011-04-06,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
90,20,본,우수,경기도,김포시,해맑은마음터,건축물,해맑은마음터,2215,노유자시설,2011-04-12,2016-04-11,한국장애인개발원
91,21,본,최우수,인천광역시,계양구,인천어린이과학관,건축물,인천광역시 종합건설본부,14998.06,문화 및 집회시설,2011-04-13,2016-04-12,한국장애인개발원
92,71,예비,최우수,경기도,수원시,광교택지개발지구 A7블록 아파트,건축물,대림산업(주),420536.1,공동주택,2011-04-26,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
93,72,예비,최우수,세종특별자치시,,연기군 장애인복지관,건축물,연기군청,1488.51,노유자시설,2011-05-04,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
94,73,예비,우수,경기도,용인시,용인 영덕 센트레빌 아파트,건축물,㈜아시아신탁,,공동주택,2011-05-13,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
95,74,예비,우수,인천광역시,강화군,인천아시안게임 강화경기장,건축물,인천광역시,16204.72,문화 및 집회시설,2011-06-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
96,75,예비,우수,인천광역시,남동구,인천남동공단 금융센터,건축물,중소기업은행,8185.94,업무시설,2011-06-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
97,76,예비,최우수,충청남도,서천군,국립생태원 생태체험관,건축물,환경부,,문화 및 집회시설,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
98,77,예비,최우수,서울특별시,강서구,마곡지구 공동주택 1단지,건축물,SH공사,37334.45,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
99,78,예비,최우수,서울특별시,강서구,마곡지구 공동주택 2단지,건축물,SH공사,73741.64,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
100,79,예비,최우수,서울특별시,강서구,마곡지구 공동주택 3단지,건축물,SH공사,35267.94,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
101,80,예비,최우수,서울특별시,강서구,마곡지구 공동주택 4단지,건축물,SH공사,47846,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
102,81,예비,최우수,서울특별시,강서구,마곡지구 공동주택 5단지,건축물,SH공사,83717.68,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
103,82,예비,최우수,서울특별시,강서구,마곡지구 공동주택 7단지,건축물,SH공사,207921.77,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
104,83,예비,최우수,서울특별시,강서구,마곡지구 공동주택 13단지,건축물,SH공사,193372.93,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
105,84,예비,최우수,서울특별시,강서구,마곡지구 공동주택 14단지,건축물,SH공사,196539.25,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
106,85,예비,최우수,서울특별시,강서구,마곡지구 공동주택 15단지,건축물,SH공사,174422.02,공동주택,2011-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
107,22,본,최우수,인천광역시,연수구,송도컨벤시아,건축물,인천관광공사,54157.35,문화 및 집회시설,2011-06-29,2016-06-28,한국장애인개발원
108,86,예비,우수,인천광역시,중구,인천중구 장애인보호작업장,건축물,인천 중구청,509.4,노유자시설,2011-06-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
109,87,예비,우수,인천광역시,중구,인천중구 문화회관 및 국민체육센터,건축물,인천 중구청,11678.69,문화 및 집회시설,2011-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
110,88,예비,우수,인천광역시,계양구,인천아시아경기대회남동배드민턴경기장,건축물,인천광역시청,18718,문화 및 집회시설,2011-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
111,89,예비,우수,인천광역시,계양구,인천아시아경기대회양궁경기장,건축물,인천광역시청,5703,문화 및 집회시설,2011-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
112,90,예비,우수,인천광역시,남동구,인천아시아경기대회체조경기장,건축물,인천광역시청,31818,문화 및 집회시설,2011-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
113,91,예비,우수,인천광역시,남동구,인천아시아경기대회럭비경기장,건축물,인천광역시청,10538,문화 및 집회시설,2011-06-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
114,92,예비,우수,경상남도,창원시,정부마산지방합동청사,건축물,행정안전부,24388.4,업무시설,2011-07-04,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
115,93,예비,최우수,서울특별시,강서구,마곡지구 공동주택 6단지,건축물,SH공사,,공동주택,2011-07-18,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
116,94,예비,최우수,서울특별시,강서구,마곡지구 공동주택 8단지,건축물,SH공사,,공동주택,2011-07-18,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
117,95,예비,최우수,서울특별시,강서구,마곡지구 공동주택 9단지,건축물,SH공사,,공동주택,2011-07-18,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
118,96,예비,최우수,서울특별시,강서구,마곡지구 공동주택 10단지,건축물,SH공사,,공동주택,2011-07-18,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
119,97,예비,최우수,서울특별시,강서구,마곡지구 공동주택 11단지,건축물,SH공사,,공동주택,2011-07-18,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
120,98,예비,최우수,서울특별시,강서구,마곡지구 공동주택 12단지,건축물,SH공사,,공동주택,2011-07-18,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
121,99,예비,최우수,경상남도,진주시,경전철 진주역사,여객시설,한국철도시설공단,,운수시설,2011-07-20,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
122,100,예비,우수,충청남도,홍성군,충남교육청 및 교육연구정보원,건축물,충남교육청,,교육연구시설,2011-07-29,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
123,101,예비,최우수,서울특별시,종로구,국립현대미술관(서울관),건축물,국립현대미술관,11244.35,문화 및 집회시설,2011-08-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
124,102,예비,최우수,경기도,김포시,김포시 장애인 복지관,건축물,김포시청,4387.37,노유자시설,2011-08-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
125,103,예비,최우수,인천광역시,,인하공업전문대학 기초실습관,건축물,인하공전,2670.24,교육연구시설,2011-08-05,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
126,104,예비,우수,전라북도,완주군,지방행정연수원 청사,건축물,행정안전부,49009.15,교육연구시설,2011-08-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
127,105,예비,최우수,인천광역시,연수구,송도 5공구 2단지 웰카운티,건축물,인천도시개발공사,,공동주택,2011-08-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
128,106,예비,최우수,서울특별시,강동구,서울지하철 9호선 922공구 937정거장,여객시설,㈜대우건설,,운수시설,2011-09-08,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
129,107,예비,최우수,대전광역시,중구,대전중리 도시디자인(유니버설) 시범거리,도로,대전광역시,,도로,2011-09-20,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
130,108,예비,최우수,대전광역시,서구,장애인종합복지관 및 부대시설(대전서구),건축물,기독교연합봉사회,6216.94,노유자시설,2011-09-27,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
131,109,예비,우수,인천광역시,연수구,인천아시아경기대회선학경기장,건축물,인천시,13151.38,문화 및 집회시설,2011-09-28,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
132,110,예비,우수,대구광역시,중구,대봉1동 주민센터,건축물,대구광역시 중구청,1780,업무시설,2011-10-06,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
133,111,예비,우수,인천광역시,연수구,송도2동 주민센터,건축물,인천시 연수구청,1299.5,업무시설,2011-10-13,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
134,112,예비,일반,전라남도,나주시,사립학교 교직원 연금공단,건축물,사립학교 교직원 연금공단,10627,업무시설,2011-10-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
135,113,예비,최우수,인천광역시,연수구,인천국제빙상경기장,건축물,인천시청,13188.57,문화 및 집회시설,2011-10-18,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
136,114,예비,우수,인천광역시,남동구,"인천광역시청사(본청, 민원동)",건축물,인천광역시청,30703.78,업무시설,2011-11-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
137,23,본,우수,대전광역시,대덕구,대덕문예회관,건축물,대덕구청,3453.43,문화 및 집회시설,2011-11-02,2016-11-01,한국장애인개발원
138,115,예비,최우수,인천광역시,연수구,첨단3초등학교,건축물,송도국제화복합단지개발㈜,13072.7,교육연구시설,2011-11-03,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
139,116,예비,우수,경기도,양주시,양주시 국민체육센터,건축물,양주시,3632.16,운동시설,2011-11-03,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
140,117,예비,최우수,서울특별시,강동구,지하철 9호선 938정거장,여객시설,대림산업주식회사,,운수시설,2011-11-10,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
141,118,예비,우수,전라북도,전주시,농촌진흥청 본관동,건축물,농촌진흥청,,업무시설,2011-11-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
142,119,예비,우수,전라북도,전주시,농촌진흥청 농업과학동,건축물,농촌진흥청,,업무시설,2011-11-14,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
143,120,예비,우수,경상남도,함안군,국립원예특작과학원 시설원예시험장,건축물,시설원예시험장,,교육연구시설,2011-11-21,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
144,121,예비,우수,전라북도,완주군,국립식량과학원(농진청),건축물,농촌진흥청,,교육연구시설,2011-11-24,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
145,122,예비,우수,전라북도,완주군,국립원예특작과학원(농진청),건축물,농촌진흥청,,교육연구시설,2011-11-24,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
146,123,예비,우수,전라북도,완주군,국립축산과학원(농진청),건축물,농촌진흥청,,교육연구시설,2011-11-24,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
147,124,예비,최우수,경기도,남양주시,경춘선 복선전철 묵현역사,여객시설,한국철도공단이사장,,운수시설,2011-12-06,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
148,125,예비,우수,대전광역시,유성구,대전 도안 5BL 분양아파트,건축물,대전도시공사사장,,공동주택,2011-12-06,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
149,126,예비,최우수,세종특별자치시,,행복도시 광역복지 지원센터,건축물,행복도시복합주택 건설청,,노유자시설,2011-12-13,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
150,127,예비,우수,인천광역시,남동구,인천만수2동주민자치센터,건축물,인천 남동구청장,,업무시설,2011-12-13,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
